FACLID21	JURDID	STATE	COUNTY	FACLNAME	STRATUM	WEIGHT	CONFPOP	V19	NCONPOP	V21	TOTPOP	V23	NONCIT	V25	QWKNDR	WEEKNDR	V28	ADMALE	V30	ADFEML	V32	JUVMALE	V34	JUVFEML	V36	TOTGEND	V38	JUVADS	V40	CONVMALE	V42	CONVFML	V44	UNCONVML	V46	UNCONVFM	V48	TOTADCNV	V50	WHITE	V52	BLACK	V54	HISP	V56	AMINDALK	V58	ASIAN	V60	HAWPAC	V62	TWORACE	TWORACEF	RACESPEC	OTRACE	V65	RACEDK	RACEDKF	TOTRACE	V67	MARSHAL	V69	FBOP	V69F	ICE	V69I	BIA	V69B	OTRSPEC	OTRAUTH	V69OF	YOURST	V71	OTRST	V73	LOCSTATE	V75	LOCOTRST	V77	TOTAUTH	V79	ADMITS	V82	DSCGH	V85	PEAKDATE	DAYINMT	V87	ADP	V89	RATCAP	V91	ELECMON	V93	HOMDTN	V95	COMMSVC	V97	DAYRPTG	V99	PRETSUP	V101	WKPROG	V103	DRUGPROG	V105	PROGSPEC	OTRPROG	V108	TOTNONCF	V110	ADMLNCNF	V112	ADFMNCNF	V114	JVMLNCNF	V116	JVFMNCNF	V118	NCNFGNDR	V120	CONVNCNF	V122	UNCNVNCF	V124	TOTCNVST	V126	NCONPOP2
011008008061000000000	011008008	01	CALHOUN COUNTY	CALHOUN COUNTY JAIL	7	1.4136	428	0	0	0	428	0	0	9	2	0	0	338	1	68	1	22	1	0	0	428	0	0	9	86	1	9	1	274	1	59	1	428	0	234	1	194	1	0	1	0	1	0	1	0	1	0	1	 	0	1	0	1	428	0	0	9	0	0	0	0	0	0	 	0	0	0	9	0	0	0	0	0	0	0	9	0	9	0	9	02	428	0	400	1	400	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
011010010061000000000	011010010	01	CHEROKEE COUNTY	CHEROKEE COUNTY DETENTION CENTER	8	2.7519	85	0	0	0	85	0	0	0	2	0	0	72	0	13	0	0	0	0	0	85	0	0	0	15	1	0	0	57	1	13	1	85	0	65	1	15	1	5	1	0	0	0	0	0	0	0	0	 	0	0	0	0	85	0	7	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	7	0	50	1	50	1	20	89	0	80	0	114	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
011011011061000000000	011011011	01	CHILTON COUNTY	CHILTON COUNTY JAIL	7	1.4136	176	0	0	0	176	0	11	1	2	0	0	155	0	21	0	0	0	0	0	176	0	0	0	5	0	6	0	150	0	15	0	176	0	132	0	33	0	11	0	0	0	0	0	0	0	0	0	 	0	1	0	1	176	0	0	0	0	0	0	0	0	0	 	0	0	12	0	0	0	0	0	3	0	15	0	88	0	55	0	27	182	0	175	0	185	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
011013013061000000000	011013013	01	CLARKE COUNTY	CLARKE COUNTY JAIL	9	5.5377	97	0	0	0	97	0	0	0	1	0	0	83	0	14	0	0	0	0	0	97	0	0	0	19	0	1	0	64	0	13	0	97	0	20	0	77	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	97	0	3	0	1	0	0	0	0	0	 	0	0	20	0	1	0	0	0	0	0	25	0	18	0	24	0	19	105	0	88	0	144	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
011016016061000000000	011016016	01	COFFEE COUNTY	COFFEE COUNTY JAIL	8	2.7519	136	0	0	0	136	0	10	0	1	1	0	118	0	18	0	0	0	0	0	136	0	0	8	27	0	3	0	91	0	15	0	136	0	60	0	63	0	13	0	0	0	0	0	0	0	0	0	 	0	1	0	0	136	0	0	0	0	0	3	0	0	0	 	0	0	27	0	0	0	3	0	0	0	33	0	44	0	32	0	28	161	0	148	0	126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
011019019061000000000	011019019	01	COOSA COUNTY	COOSA COUNTY JAIL	9	5.5377	76	0	0	0	76	0	0	0	2	0	0	61	0	15	0	0	0	0	0	76	0	0	0	18	0	1	0	43	1	14	0	76	0	36	0	40	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	76	0	0	0	0	0	0	0	0	0	 	0	0	1	0	0	0	0	0	0	0	1	0	5	0	4	0	30	76	0	60	0	72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
011020020061000000000	011020020	01	COVINGTON COUNTY	COVINGTON COUNTY JAIL	8	2.7519	182	0	0	0	182	0	0	9	1	0	9	145	0	37	0	0	0	0	0	182	0	0	9	0	9	0	9	0	9	0	9	182	0	0	9	0	9	0	9	0	9	0	9	0	9	0	9	 	0	9	182	0	182	0	0	9	0	9	0	9	0	9	 	0	9	0	9	0	9	0	9	0	9	0	9	0	9	0	9	04	182	0	188	1	182	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
011021021061000000000	011021021	01	CRENSHAW COUNTY	CRENSHAW COUNTY JAIL	9	5.5377	55	0	0	0	55	0	0	0	1	0	0	50	0	5	0	0	0	0	0	55	0	0	0	12	1	1	1	38	1	4	1	55	0	21	1	33	1	1	1	0	0	0	0	0	0	0	0	 	0	0	0	0	55	0	0	0	0	0	0	0	0	0	 	0	0	4	1	0	0	2	0	0	0	6	0	0	9	0	9	00	0	9	45	1	68	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
011026026061000000000	011026026	01	ELMORE COUNTY	ELMORE COUNTY JAIL	7	1.4136	259	0	0	0	259	0	0	9	1	0	9	224	0	35	0	0	0	0	0	259	0	0	8	112	1	17	1	112	1	18	1	259	0	119	0	129	0	11	0	0	1	0	1	0	1	0	1	 	0	1	0	1	259	0	13	0	4	0	0	0	0	0	 	0	0	0	9	0	0	23	0	0	0	40	0	0	9	0	9	30	259	0	260	1	232	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
011028028061000000000	011028028	01	ETOWAH COUNTY	ETOWAH COUNTY DETENTION CENTER	1	1	772	0	0	0	772	0	312	0	2	0	0	680	1	81	1	11	1	0	0	772	0	11	1	581	1	72	1	110	1	9	1	772	0	293	1	113	1	215	1	0	0	25	1	0	0	0	0	Many other Origins	126	1	0	0	772	0	0	0	0	0	366	0	0	0	 	0	0	63	0	0	0	0	0	0	0	429	0	73	1	66	1	05	796	1	865	1	920	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
011029029061000000000	011029029	01	FAYETTE COUNTY	FAYETTE COUNTY JAIL	9	5.5377	92	0	0	0	92	0	0	0	2	0	0	80	0	12	0	0	0	0	0	92	0	0	0	10	1	4	1	70	1	8	1	92	1	48	1	44	1	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	92	1	0	0	0	0	0	0	0	0	 	0	0	12	1	0	0	0	0	0	0	12	0	17	1	20	1	23	96	0	93	1	62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	 	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
