County,County Value,Error Margin,Black,Hispanic,White
Albany,80.1,79.8-80.4,77.1,85,80.3
Allegany,78.5,77.7-79.3,,,
Bronx,80.4,80.2-80.5,78.9,82.7,78.6
Broome,78.5,78.1-79.0,75.3,87.5,78.5
Cattaraugus,77.8,77.1-78.4,,,
Cayuga,79.5,78.9-80.1,86.1,94.7,79.4
Chautauqua,77.5,77.0-78.0,72.5,76.4,77.7
Chemung,77.2,76.6-77.8,74.8,90.2,77.1
Chenango,77.3,76.5-78.1,,,
Clinton,79.7,79.0-80.3,84.1,98.8,79.4
Columbia,79.3,78.6-80.1,76.4,80.8,79.7
Cortland,77.9,77.1-78.8,,,
Delaware,79.8,79.0-80.6,,85.3,79.6
Dutchess,81.1,80.7-81.4,79.4,87.1,80.7
Erie,78.3,78.1-78.5,73.7,84.4,78.9
Essex,80.4,79.6-81.2,,,
Franklin,78.7,77.9-79.4,84.2,91.1,78.3
Fulton,78.3,77.6-79.0,,,
Genesee,78.8,78.1-79.6,75.2,,79
Greene,78.9,78.1-79.7,78.2,81.9,78.8
Hamilton,80.2,77.9-82.6,,,
Herkimer,78.4,77.6-79.1,,,
Jefferson,78.7,78.1-79.2,89.1,83.3,78.4
Kings,82.4,82.2-82.5,81.3,83.2,83
Lewis,79.5,78.4-80.7,,,
Livingston,80.4,79.8-81.1,82.6,88.6,80.2
Madison,80.3,79.7-81.0,,,
Monroe,80,79.8-80.2,75.8,80.8,80.7
Montgomery,77.7,76.9-78.5,,83.4,77.3
Nassau,82.8,82.7-83.0,81.6,88.6,82.2
New York,84.5,84.3-84.7,76.8,85.4,86.9
Niagara,77.6,77.2-78.0,72.4,81.5,78.1
Oneida,78.5,78.1-78.8,74.7,83,78.7
Onondaga,79.3,79.0-79.5,74.2,84.2,80
Ontario,80,79.5-80.5,76.1,84.9,80
Orange,80.2,79.9-80.5,78.7,85.8,79.8
Orleans,77.8,76.9-78.7,84,85.5,77.3
Oswego,78,77.5-78.6,,98.5,78
Otsego,79.5,78.7-80.3,,95.8,79.2
Putnam,81.7,81.1-82.3,82.5,91.9,81.2
Queens,83.6,83.5-83.7,81.5,88.3,81.5
Rensselaer,79.2,78.7-79.6,75.9,82.9,79.4
Richmond,80.7,80.4-80.9,78.2,84.9,81.1
Rockland,83.3,83.0-83.6,84.5,86.7,82.5
Saratoga,80.9,80.6-81.3,84,91.2,80.8
Schenectady,78.8,78.3-79.2,74.5,85.8,79.1
Schoharie,80.6,79.5-81.6,,,
Schuyler,78.1,76.8-79.4,,,
Seneca,78.1,77.2-79.1,86.2,,77.7
St. Lawrence,79.3,78.7-79.8,78.2,81.9,79.1
Steuben,79,78.4-79.6,85.4,,78.9
Suffolk,80.7,80.5-80.8,78.4,86.8,80.3
Sullivan,78.1,77.5-78.8,78.1,87.2,77.6
Tioga,79.8,79.0-80.7,,,
Tompkins,80.8,80.2-81.4,77.1,100+,80.4
Ulster,79.6,79.1-80.0,78.8,86,79.3
Warren,79.3,78.6-80.0,,,
Washington,79,78.3-79.8,79.9,82.1,79
Wayne,78.7,78.1-79.3,73.2,93.8,78.7
Westchester,83.5,83.3-83.7,80.9,90.4,83.2
Wyoming,78.7,77.9-79.5,80.3,,78.3
Yates,79,77.9-80.1,,,
