County,County Value,Error Margin,AIAN,Asian,Black,Hispanic,White
Albany,80,79.7-80.3,,90.6,77.1,85.6,80.3
Allegany,78,77.2-78.8,,,,,
Bronx,80.6,80.4-80.7,100+,91.2,79,83,78.5
Broome,78.7,78.3-79.1,,99.4,75.2,85,78.7
Cattaraugus,77.8,77.2-78.5,73,,,,77.9
Cayuga,79.4,78.8-80.1,,,88.6,90.2,79.4
Chautauqua,77.3,76.8-77.8,,,73.5,75.5,77.5
Chemung,77.2,76.6-77.8,,,75.7,87.8,77.1
Chenango,77.3,76.5-78.1,,,,,
Clinton,79.4,78.8-80.1,,,79.1,91.1,79.2
Columbia,79.6,78.9-80.4,,,77.2,82.9,79.7
Cortland,78.2,77.4-79.0,,,,,
Delaware,79.3,78.4-80.1,,,,87.2,79.1
Dutchess,80.6,80.2-80.9,,93.1,78.7,85.4,80.2
Erie,78.4,78.2-78.6,75.2,89.3,73.6,83.6,79
Essex,80.8,80.0-81.7,,,,,
Franklin,79.3,78.5-80.0,79.4,,85.4,98.4,78.9
Fulton,78.4,77.7-79.2,,,,,
Genesee,78.1,77.4-78.9,,,72.9,100+,78.3
Greene,78.6,77.8-79.5,,,75.7,84.7,78.4
Hamilton,79.9,77.8-82.1,,,,,
Herkimer,79.2,78.6-79.9,,,,,
Jefferson,78.6,78.1-79.1,,89.8,85.2,84.6,78.4
Kings,82.6,82.5-82.8,100+,88.6,81.4,83.4,83.3
Lewis,79.5,78.4-80.7,,,,,
Livingston,80,79.3-80.7,,,80.9,96.5,79.8
Madison,80.9,80.3-81.6,,,,,
Monroe,79.9,79.7-80.1,88.7,89.7,75.5,81.2,80.6
Montgomery,77.7,76.9-78.4,,,,81.4,77.3
Nassau,82.9,82.7-83.0,,90.6,81.4,88.1,82.3
New York,84.9,84.7-85.0,,89.4,77,85.6,87.2
Niagara,77.7,77.3-78.1,77,88.5,72.8,80.4,78.1
Oneida,78.4,78.0-78.7,,82.8,74.6,82.6,78.6
Onondaga,79.5,79.2-79.7,78.9,87.5,74.5,83.3,80.1
Ontario,79.8,79.3-80.3,,,76.6,82.1,79.6
Orange,80.2,79.9-80.5,,92.7,78.2,85.5,79.7
Orleans,77.7,76.7-78.6,,,82.3,86.3,77.1
Oswego,78.1,77.5-78.6,,,,86.5,78
Otsego,79.8,79.1-80.6,,,,95.3,79.6
Putnam,82.5,81.9-83.1,,100+,84.5,97.6,82
Queens,83.8,83.7-84.0,100+,89.6,81.5,88.4,81.8
Rensselaer,79,78.5-79.4,,91,75.3,81.1,79.3
Richmond,80.9,80.6-81.1,,88.3,79.8,84.3,81.1
Rockland,83.2,82.8-83.5,,96.5,84,86.1,82.4
Saratoga,81,80.6-81.4,,100+,83.9,91.7,80.8
Schenectady,79,78.5-79.4,,84.2,75.3,84.5,79.1
Schoharie,80.7,79.6-81.7,,,,,
Schuyler,78.1,76.8-79.4,,,,,
Seneca,77.5,76.5-78.5,,,82.9,,77.2
St. Lawrence,79.1,78.5-79.7,,,81.1,,79
Steuben,78.7,78.1-79.3,,,81.4,,78.6
Suffolk,80.7,80.5-80.8,93.9,90,78.5,86.1,80.3
Sullivan,77.9,77.3-78.6,,,77.6,83.7,77.2
Tioga,80.4,79.6-81.3,,,,,
Tompkins,80.7,80.1-81.3,,92.1,77.1,100+,80.3
Ulster,79.8,79.4-80.2,,90.9,78.7,86,79.5
Warren,79.3,78.5-80.0,,,,,
Washington,78.6,77.9-79.3,,,77.3,90.6,78.4
Wayne,78.7,78.1-79.3,,,73.1,97.1,78.7
Westchester,83.5,83.3-83.7,,93.2,80.9,89.2,83.3
Wyoming,78.7,77.9-79.6,,,80.9,,78.3
Yates,78.2,77.0-79.4,,,,,
